2020/11/17 14:10:10							
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	4-room	570	573	0.8	4.6	1.0
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	5-room	327	469	1.1	7.8	1.4
Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates
Bishan (Bishan Ridges)	3-room	124	233	1.0	19.3	1.9
Bishan (Bishan Ridges)	4-room	1222	2606	1.6	12.9	2.1
Tampines (Tampines GreenEmerald)	4-room	360	534	1.2	6.7	1.5
Tampines (Tampines GreenEmerald)	5-room	244	356	1.0	10.9	1.5
Toa Payoh (Bartley Beacon / ParkView @ Bidadari)	3-room	184	85	0.2	5.2	0.5
Toa Payoh (Bartley Beacon / ParkView @ Bidadari)	4-room	910	904	0.8	4.4	1.0
Toa Payoh (Bartley Beacon)	5-room	144	754	2.6	56.1	5.2
TOTAL	TOTAL	4809	7521	1.2	6.6	1.6
